id,packet,type,day,stream,prop.rem
1,B,rural,3,CC,0.776542377
2,B,rural,7,CC,0.756791186
3,A,rural,14,CC,0.698046915
4,B,rural,14,CC,0.700498277
5,A,rural,31,CC,0.554992978
6,B,rural,31,CC,0.431223167
7,A,rural,64,CC,0.458328826
8,A,rural,92,CC,0.256857675
9,B,rural,92,CC,0.004550916
10,A,urban,3,CC,0.793427224
11,A,urban,3,CC,0.801189715
12,B,urban,3,CC,0.755350411
13,A,urban,7,CC,0.760693454
14,A,urban,7,CC,0.796096884
15,B,urban,7,CC,0.738156163
16,A,urban,14,CC,0.721938522
17,B,urban,14,CC,0.685610814
18,A,urban,31,CC,0.558400078
19,B,urban,31,CC,0.317840798
20,A,urban,64,CC,0.411063755
21,B,urban,64,CC,0.02581964
22,A,urban,92,CC,0.233713805
23,A,rural,3,PT,0.796791233
24,B,rural,3,PT,0.739824685
25,A,rural,7,PT,0.760221278
26,B,rural,7,PT,0.734491176
27,A,rural,14,PT,0.721288693
28,B,rural,14,PT,0.702862171
29,A,rural,31,PT,0.630953418
30,B,rural,31,PT,0.61405394
31,A,rural,64,PT,0.573737758
32,B,rural,64,PT,0.094417253
33,A,rural,92,PT,0.380825309
34,B,rural,92,PT,0.170703379
35,A,urban,3,PT,0.767885909
36,B,urban,3,PT,0.749678789
37,A,urban,7,PT,0.726293544
38,B,urban,7,PT,0.724482969
39,A,urban,14,PT,0.681213801
40,B,urban,14,PT,0.674972389
41,A,urban,31,PT,0.532779661
42,B,urban,31,PT,0.260732998
43,A,urban,64,PT,0.254128669
44,B,urban,64,PT,0.01278579
45,A,urban,92,PT,0.260333451
46,B,urban,92,PT,0.227939026
