,vial,length_mm,month,site
1,1,16.13,April,CW
2,1,14.61,April,CW
3,1,16.69,April,CW
4,2,10.21,April,CW
5,2,12.07,April,CW
6,2,11.93,April,CW
7,2,10.34,April,CW
8,2,6.55,April,CW
17,5,16.93,April,MV
18,6,14.2,April,WP
19,7,15.45,April,WP
20,8,14.6,April,SC
21,9,14.03,April,SC
22,9,13.26,April,SC
23,10,16.79,April,BR
24,34,18.49,May,SC
25,34,15.5,May,SC
26,34,18.71,May,SC
27,36,18.32,May,SC
28,36,11.51,May,SC
29,36,14.54,May,SC
30,36,17.82,May,SC
31,48,16.65,May,MV
32,53,15.74,May,CW
33,53,17.26,May,CW
34,53,17.14,May,CW
35,53,16.28,May,CW
36,53,11.32,May,CW
37,53,10.72,May,CW
38,70,13.4,June,CW
39,70,11.02,June,CW
40,70,10.41,June,CW
41,70,8.01,June,CW
42,70,9.99,June,CW
43,70,7.44,June,CW
44,60,10.56,June,SC
45,60,8.02,June,SC
46,60,8.8,June,SC
47,60,5.71,June,SC
48,60,8.65,June,SC
49,60,10.44,June,SC
50,60,8.26,June,SC
51,60,7.33,June,SC
52,60,13.95,June,SC
53,60,6.26,June,SC
54,60,16.36,June,SC
55,60,11.89,June,SC
56,60,5.67,June,SC
57,60,8.15,June,SC
58,60,6.86,June,SC
59,60,3.64,June,SC
60,60,4.06,June,SC
61,60,11.51,June,SC
62,60,8.71,June,SC
63,60,9.27,June,SC
64,60,7.72,June,SC
65,60,2.6,June,SC
66,60,5.6,June,SC
67,60,4.01,June,SC
68,60,6.81,June,SC
69,60,7.9,June,SC
70,60,2.97,June,SC
71,60,5.2,June,SC
72,60,4.14,June,SC
73,60,4.59,June,SC
74,60,4.91,June,SC
75,60,7.02,June,SC
76,60,3.53,June,SC
77,60,4.29,June,SC
78,60,2.03,June,SC
79,60,2.62,June,SC
80,76,10.17,June,MV
81,76,8.03,June,MV
82,76,8.52,June,MV
83,76,9.24,June,MV
84,76,1.83,June,MV
85,76,15.79,June,MV
86,76,3.43,June,MV
87,85,6.64,June,BR
88,85,9.82,June,BR
89,85,4.49,June,BR
90,85,6.28,June,BR
91,85,8.3,June,BR
92,85,6.39,June,BR
93,85,7.34,June,BR
94,91,5.96,August,MV
95,96,10.86,August,SP
96,96,2.77,August,SP
97,96,10.01,August,SP
98,102,14.19,August,CW
99,102,8.58,August,CW
100,102,6.39,August,CW
101,102,5.81,August,CW
102,108,10.55,August,WP
103,108,10.21,August,WP
104,108,15.56,August,WP
105,108,3.46,August,WP
106,112,16.42,August,BR
107,112,15.79,August,BR
108,112,13.56,August,BR
109,112,5.79,August,BR
110,117,7.65,August,SC
111,117,9.33,August,SC
112,117,11.24,August,SC
113,117,6.4,August,SC
114,117,9.26,August,SC
115,117,9.84,August,SC
116,117,7.33,August,SC
117,117,9.12,August,SC
118,117,8.44,August,SC
119,117,6.88,August,SC
120,117,7.47,August,SC
121,117,10.84,August,SC
122,117,10.12,August,SC
123,117,7.24,August,SC
124,117,10.99,August,SC
125,117,13.84,August,SC
126,117,4.8,August,SC
127,117,7.68,August,SC
128,117,5.63,August,SC
129,117,9.31,August,SC
130,117,9.34,August,SC
131,117,7.16,August,SC
132,117,9.53,August,SC
133,117,8.09,August,SC
134,117,10.08,August,SC
135,117,10.45,August,SC
136,117,10.05,August,SC
137,117,8.8,August,SC
138,117,14,August,SC
139,117,12.84,August,SC
140,117,6.51,August,SC
141,117,6.87,August,SC
142,117,6.71,August,SC
143,117,9.29,August,SC
144,117,7.31,August,SC
145,117,7.08,August,SC
146,117,4.25,August,SC
147,117,7.31,August,SC
148,117,5.47,August,SC
149,117,5.68,August,SC
150,117,5.62,August,SC
151,117,7.06,August,SC
152,117,4.74,August,SC
153,117,4.46,August,SC
154,117,2.89,August,SC
